title,description
Dual Survival,"Surviving in the wild is not an exact science. Beyond the basics of finding water, food, shelter and eventually help, opinions vary. Two experts tell how they think it's done in this series, as initial episodes feature trained survivalists Dave Canterbury and Cody Lundin demonstrating the skills and creative thinking that can help one cope in tough surroundings. Equipped with minimal gear, the pair are left in remote locations -- an uninhabited island off Nova Scotia, a New Zealand mountaintop, deep in the Everglades, the jungle of Thailand, and the desert of Baja California, to name a few -- where they battle the elements and sometimes each other. Season 3 introduces U.S. Special Ops veteran Joseph Teti to replace Canterbury, in the middle of Season 4 primitive survivalist Matt Graham of Discovery's ""Dude, You're Screwed"" replaces Lundin, and partway through Season 5 producers forge new partnerships by rotating survival experts as hosts."
The Club,"A band of misfit rich kids in Mexico strike out on their own selling MDMA, and they quickly run into trouble with other narcos, the law and their families."
Sir,An idealistic college professor rescues his students from a mobster.
Babylon Berlin,"Police commissioner Gereon Rath is transferred from Cologne to Berlin, the epicenter of political and social change in the Golden Twenties. Shellshocked from his service during World War I, he uncovers a dangerous web of intrigue while investigating one of Berlin's biggest pornography rings. There's an even bigger conspiracy unfolding, though, when Soviet rebels hijack a train as part of a mission hatched by Trotsky supporters in the city."
Ratatouille,"Remy (Patton Oswalt), a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream."
The Dance of Reality,"Cult filmmaker Alejandro Jodorowsky presents a fanciful interpretation of his childhood, set against Chile's turbulent social and political environment."
Backstrom,"Based on a popular Scandinavian book series by renowned criminologist and novelist Leif G.W. Persson, this drama centers on Detective Everett Backstrom, a grumpy and sometimes offensive detective who heads up the Serious Crimes Unit in Portland, Ore. As Backstrom and his team handle the city's most sensitive cases, the detective tries -- and fails -- to modify his self-destructive tendencies. Three-time Emmy-nominee Rainn Wilson plays the titular role in this series created by executive producer Hart Hanson."
Paddington 2,"Settled in with the Brown family, Paddington the bear is a popular member of the community who spreads joy and marmalade wherever he goes. One fine day, he spots a pop-up book in an antique shop -- the perfect present for his beloved aunt's 100th birthday. When a thief steals the prized book, Paddington embarks on an epic quest to unmask the culprit before Aunt Lucy's big celebration."
Nil Battey Sannata,A high school student gives up on her education when she learns she cannot afford to go to college.
Lip Sync Battle,"Thanks to a wildly popular segment on ""The Tonight Show Starring Jimmy Fallon,"" pretend-singing contests between celebrities are now worthy enough for a TV series. ""Lip Sync Battle"" brings together some of the biggest performers in entertainment, including Anna Kendrick, Dwayne Johnson, Emily Blunt, Anne Hathaway, Justin Bieber, Jennifer Lopez, Terrence Howard, and executive producers Fallon, John Krasinski and Stephen Merchant, to see who better lip-syncs songs of their choice. Helping produce epic battles, celebs are outfitted not only with microphones but props, costumes and even backup singers. LL Cool J hosts, and model Chrissy Teigen provides color commentary."
What Time Is It There?,A street vendor (Lee Kang-sheng) with a grim home-life forges a connection with a young woman (Shiang-chyi Chen) on her way to Paris.
Rainbow,"Media frenzy, universe imbalance and threatened human existence result when four New Jersey boys ride a rainbow."
Black Snow,"After a time capsule is unearthed at a local high school, a small Far North Queensland town is plunged back into the past, and the secrets of an unsolved murder of one of its students unravels."
Appleseed,A policewoman and her cyborg partner try to stop terrorists from taking over their city.
Brown Sugar,"Sidney (Sanaa Lathan) and Dre (Taye Diggs) can attribute their friendship and the launch of their careers to one single childhood instant ... witnessing the birth of hip-hop on a New York street corner. Now some 15 years later, she is a revered music critic and he is a successful, though unfulfilled, music executive. Both come to realize that their true life passions will only be fulfilled by remembering what they learned that day on the corner."
Firefly,"Set 500 years in the future after a universal civil war, the crew of a small transport spaceship takes any job so long as it puts food on the table. The disparate men and women just want to survive and maybe have better lives, but they face constant challenges on the new frontier, such as the Reavers -- flesh-eating mongrels who live on the fringes of the universe."
Everybody Wants Some!!,"In 1980 Texas, a college freshman (Blake Jenner) meets his new baseball teammates (Will Brittain, Ryan Guzman), an unruly group of disco-dancing, skirt-chasing partyers."
Two Brothers,"Twin tiger cubs Kumal and Sangha are torn apart when their father is killed by hunter Aidan McRory (Guy Pearce). Kumal finds himself in a circus, where his spirits are broken by an abusive trainer (Vincent Scarito), while Sangha is adopted by a politician's son (Freddie Highmore) and cast aside when he attacks the family dog. The brothers struggle to survive in a world where tigers are enslaved or killed for sport, and when they inevitably meet again, it is under the worst of circumstances."
Erased,"29-year-old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings."
Iratta,Portraits of the life of identical twins Vinod and Pramod.
Bee and PuppyCat,"An unemployed woman named Bee lives a normal life until her grumpy companion PuppyCat arrives and the begin traveling between reality and ""Fishbowl Space."""
Uncoupled,A man has had his life turned upside down after his partner walks out on him after 17 years.
The Secret in Their Eyes,"Rising FBI investigators Ray (Chiwetel Ejiofor) and Jess (Julia Roberts), along with Claire (Nicole Kidman), their district-attorney supervisor, are suddenly torn apart following the brutal murder of Jess' teenage daughter. Thirteen years later, after obsessively searching for the elusive killer, Ray uncovers a new lead that he is certain can permanently resolve the case and bring long-desired closure to the team. But no one is prepared for the shocking and unspeakable secret that follows."
